Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area^2,City,Price(�),Location,Type of Property
"1000 Sq Ft Apartment For Sale In Pallabi, Mirpur",2,2,5,Vacant,1000,Dhaka,"36,748","Pallabi, Mirpur",Apartment
"We Offer You An Excellent And Spacious Commercial Space Of 1840 Sq Ft At Tejgaon, For Sale",,,3,Vacant,1840,Dhaka,"307,343","Hatir Jheel Link Road, Tejgaon",Commercial Property
A Standard Apartment In Mirpur Near To M.A Zabbar Memorial High School Is Up For Sale,2,2,2,Vacant,740,Dhaka,"26,725","Pirerbag, Mirpur",Apartment
An Attractively Designed 1250 Sq Ft Apartment For Sale In Mirpur Section 10,3,3,6,Vacant,1250,Dhaka,"52,115","Section 10, Mirpur",Apartment
"Buy This Modest 1430 Sq Ft Flat In Bashundhara R-a, Block J",3,3,5,Vacant,1430,Dhaka,"80,176","Block J, Bashundhara R-A",Flat
Celebrate Life Each Day In Your New Apartment Of 1690 Sq Ft At Boro Maghbazar With Your Beloved Family,3,3,1,Vacant,1690,Dhaka,"98,884","Boro Maghbazar, Maghbazar",Apartment
A 1330 Square Ft. Apartment Is For Sale At Banasree,3,3,1,Vacant,1330,Dhaka,"52,783","Block B, Banasree",Apartment
An Impressive 1230 Sq Ft Residential Apartment Is Up For Sale In The Center Of East Shewrapara Near To Jheelpar Jame Masjid,3,3,2,Vacant,1230,Dhaka,"49,442","East Shewrapara, Mirpur",Apartment
An Apartment Of 1700 Sq Ft Is Ready For Sale At Uttara,3,3,7,Vacant,1700,Dhaka,"113,583","Sector 7, Uttara",Apartment
"1300 Sq Ft Residential Apartment Is Up For Sale At Uttara, Sector 10",3,3,6,Vacant,1300,Dhaka,"53,451","Sector 10, Uttara",Apartment
A Convenient 1175 Sq Ft Residential Apartment Is Prepared For Sale At South Pirerbag,3,2,6,Vacant,1175,Dhaka,"42,093","Pirerbag, Mirpur",Apartment
"In East Monipur , 1265 Square Feet Apartment Is For Sale.",3,3,6,Vacant,1265,Dhaka,"56,792","East Monipur, Mirpur",Apartment
"Residential Apartment For Sale in Tipu Sultan Road, Middle Pirerbag",3,2,7,Vacant,1000,Dhaka,"38,084","Pirerbag, Mirpur",Apartment
A Delightful Apartment Of 1554 Sq Ft Is Ready For Sale In A Great Location Of Pallabi,3,3,1,Vacant,1554,Dhaka,"76,836","Pallabi, Mirpur",Apartment
1570 Sq Ft Flat For Sale In Imandipur Road near Imandipur Government Primary School,3,3,8,Vacant,1570,Dhaka,"37,416","Imandipur, Savar",Flat
Visit This Apartment For Sale In East Monipur Near Life Aid Specialized Hospital Pvt. Ltd.,3,2,5,Vacant,1050,Dhaka,"30,066","East Monipur, Mirpur",Apartment
